latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,khg_id,nama_khg,provinsi,kabupaten,peat_depth,depth_cm,fungsi_zona,luas_ha,is_peatland,peat_hazard_multiplier,nearest_station_city,nearest_station_province,station_dist_km,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_temperature_0_to_7cm
-1.5656,114.37399,340.8,0.39,0.36,2024-08-01,545,N20,VIIRS,n,2,297.62,4.28,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Palangkaraya,Kalimantan Tengah,88.40502902062885,0.285,0.242,0.315,27.5
0.90194,111.25871,330.54,0.46,0.39,2024-08-01,546,N20,VIIRS,n,2,294.91,2.22,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Sintang,Kalimantan Barat,96.02090281780194,0.358,0.318,0.324,27.1
0.90066,111.25033,331.83,0.46,0.39,2024-08-01,546,N20,VIIRS,n,2,294.87,4.74,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Sintang,Kalimantan Barat,96.11845878588827,0.358,0.318,0.324,27.1
0.67828,109.80524,331.81,0.55,0.43,2024-08-01,546,N20,VIIRS,n,2,293.67,32.18,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Pontianak,Kalimantan Barat,93.56722492499155,0.357,0.253,0.305,27.0
0.807,110.56615,339.77,0.5,0.41,2024-08-01,546,N20,VIIRS,n,2,292.88,21.62,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Sintang,Kalimantan Barat,130.15607026686374,0.358,0.318,0.324,27.1
0.78972,110.40314,336.13,0.51,0.41,2024-08-01,546,N20,VIIRS,n,2,292.87,4.59,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Sintang,Kalimantan Barat,143.5227457213536,0.358,0.318,0.324,27.1
0.77578,110.31195,336.11,0.52,0.41,2024-08-01,546,N20,VIIRS,n,2,290.97,6.4,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Pontianak,Kalimantan Barat,139.66453992934922,0.357,0.253,0.305,27.0
0.83367,110.66606,329.64,0.49,0.4,2024-08-01,546,N20,VIIRS,n,2,293.68,3.55,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Sintang,Kalimantan Barat,123.8046068497961,0.358,0.318,0.324,27.1
0.81547,110.54666,332.71,0.5,0.41,2024-08-01,546,N20,VIIRS,n,2,294.15,4.93,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Sintang,Kalimantan Barat,132.42694665179198,0.358,0.318,0.324,27.1
0.79419,110.40721,331.93,0.51,0.41,2024-08-01,546,N20,VIIRS,n,2,292.46,4.59,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Sintang,Kalimantan Barat,143.42893097666237,0.358,0.318,0.324,27.1
0.83738,110.6655,333.82,0.49,0.4,2024-08-01,546,N20,VIIRS,n,2,296.76,78.57,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Sintang,Kalimantan Barat,124.13406481513695,0.358,0.318,0.324,27.1
0.79866,110.41123,333.73,0.51,0.41,2024-08-01,546,N20,VIIRS,n,2,294.91,14.72,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Sintang,Kalimantan Barat,143.34276028756582,0.358,0.318,0.324,27.1
0.79795,110.40659,330.52,0.51,0.41,2024-08-01,546,N20,VIIRS,n,2,294.14,13.1,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Sintang,Kalimantan Barat,143.72191077134656,0.358,0.318,0.324,27.1
0.71305,109.74441,344.96,0.56,0.43,2024-08-01,546,N20,VIIRS,n,2,293.58,14.25,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Singkawang,Kalimantan Barat,86.75412469024607,0.136,0.072,0.116,28.0
0.71698,109.7438,342.4,0.56,0.43,2024-08-01,546,N20,VIIRS,n,2,294.19,14.25,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Singkawang,Kalimantan Barat,86.58375630082352,0.136,0.072,0.116,28.0
0.72838,109.79279,340.34,0.55,0.43,2024-08-01,546,N20,VIIRS,n,2,293.55,7.08,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Singkawang,Kalimantan Barat,91.60001682381159,0.136,0.072,0.116,28.0
0.93454,111.10967,343.53,0.47,0.39,2024-08-01,546,N20,VIIRS,n,2,293.38,4.97,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Sintang,Kalimantan Barat,104.72707766681263,0.358,0.318,0.324,27.1
0.73546,109.78662,332.5,0.55,0.43,2024-08-01,546,N20,VIIRS,n,2,294.01,4.88,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Singkawang,Kalimantan Barat,90.7670460782773,0.136,0.072,0.116,28.0
0.82223,110.33766,331.79,0.51,0.41,2024-08-01,546,N20,VIIRS,n,2,295.86,6.0,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Pontianak,Kalimantan Barat,145.16604386793236,0.357,0.253,0.305,27.0
0.75041,109.75185,332.64,0.56,0.43,2024-08-01,546,N20,VIIRS,n,2,293.46,3.96,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Singkawang,Kalimantan Barat,86.65422679769759,0.136,0.072,0.116,28.0
0.7637,109.75989,343.6,0.56,0.43,2024-08-01,546,N20,VIIRS,n,2,295.77,25.24,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Singkawang,Kalimantan Barat,87.25764462691049,0.136,0.072,0.116,28.0
0.86834,110.38407,334.99,0.51,0.41,2024-08-01,546,N20,VIIRS,n,2,294.46,4.59,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Sintang,Kalimantan Barat,150.2944865669756,0.358,0.318,0.324,27.1
0.87433,110.32284,332.84,0.51,0.41,2024-08-01,546,N20,VIIRS,n,2,293.31,9.55,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Pontianak,Kalimantan Barat,147.7676806440179,0.357,0.253,0.305,27.0
0.88329,110.33085,332.95,0.51,0.41,2024-08-01,546,N20,VIIRS,n,2,293.14,8.75,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Pontianak,Kalimantan Barat,149.09534257609297,0.357,0.253,0.305,27.0
